,MI 540 dissipation factor measurement,,,,
time (UTC),tan delta,test object RMS voltage (V),test object current (I),input frequency (Hz),test object capacitance (F)
04-DEC-2019 15:29:22.7,0.00581247,529.377,9.31213e-05,1550,1.80636e-11
04-DEC-2019 15:29:23.0,0.00581245,529.348,9.3122e-05,1550,1.80637e-11
04-DEC-2019 15:29:23.3,0.00581249,529.336,9.3121e-05,1550,1.80637e-11
04-DEC-2019 15:29:27.2,0.00575686,559.143,0.000129914,2050,1.8044e-11
04-DEC-2019 15:29:27.5,0.00575642,559.162,0.000129913,2050,1.8044e-11
04-DEC-2019 15:29:27.8,0.0057561,559.154,0.000129914,2050,1.8044e-11
04-DEC-2019 15:29:28.1,0.00575588,559.141,0.000129914,2050,1.80441e-11
04-DEC-2019 15:29:28.4,0.00575541,559.13,0.000129911,2050,1.80441e-11
04-DEC-2019 15:29:28.7,0.00575549,559.145,0.000129911,2050,1.8044e-11
04-DEC-2019 15:29:29.0,0.00575568,559.141,0.000129912,2050,1.80441e-11
04-DEC-2019 15:29:29.3,0.00575561,559.138,0.000129911,2050,1.8044e-11
04-DEC-2019 15:29:29.6,0.00575566,559.144,0.000129912,2050,1.8044e-11
04-DEC-2019 15:29:29.9,0.00575653,559.138,0.000129913,2050,1.80441e-11
04-DEC-2019 15:29:30.2,0.00575755,559.137,0.000129911,2050,1.80441e-11
04-DEC-2019 15:30:2.0,0.00653659,1989.23,1.14399e-05,50,1.83004e-11
04-DEC-2019 15:30:2.3,0.00653461,1990.16,1.1439e-05,50,1.82992e-11
04-DEC-2019 15:30:2.6,0.00654994,1990.49,1.14393e-05,50.0001,1.82995e-11
04-DEC-2019 15:30:2.9,0.00656154,1990.63,1.14387e-05,50,1.82986e-11
04-DEC-2019 15:30:3.2,0.00657897,1989.69,1.14393e-05,50,1.82993e-11
04-DEC-2019 15:30:3.5,0.00659616,1991.15,1.14386e-05,50.0001,1.82978e-11
04-DEC-2019 15:30:3.8,0.00659853,1989.84,1.14388e-05,50,1.82982e-11
04-DEC-2019 15:30:4.1,0.0065934,1989.27,1.14389e-05,50,1.82987e-11
04-DEC-2019 15:30:4.4,0.00659001,1990.37,1.14393e-05,50.0001,1.82995e-11
04-DEC-2019 15:30:4.7,0.00658571,1990.35,1.1439e-05,50,1.82991e-11
04-DEC-2019 15:30:8.0,0.00651636,1991.9,1.37249e-05,60.0001,1.82856e-11
04-DEC-2019 15:30:8.3,0.00650643,1991.39,1.37319e-05,60,1.82857e-11
04-DEC-2019 15:30:8.6,0.00651153,1991.93,1.37323e-05,60.0001,1.82866e-11
